training_percentage, precision, recall
0.10, 0.665119363395, 0.260114107884
0.25, 0.747050147493, 0.297241784038
0.50, 0.809847198642, 0.347794385709
0.70, 0.790425531915, 0.444377990431
0.90, 0.836104513064, 0.518409425626 
